symbol,exchange,name,research_rank,tier,recommended_stage,suggested_cycle,reason,tier_comment
RB0,SHFE,螺纹钢连续,1,A,第一批建库,,黑色龙头，流动性强，趋势和板块联动明显，适合做趋势突破基线。,优先研究。流动性较好、趋势突破更友好、成本与滑点相对更适合新手做商品CTA baseline。
HC0,SHFE,热轧卷板连续,2,A,第一批建库,,与螺纹同属黑色核心品种，联动清晰，适合板块轮动研究。,优先研究。流动性较好、趋势突破更友好、成本与滑点相对更适合新手做商品CTA baseline。
I0,DCE,铁矿石连续,3,A,第一批建库,,黑色链高弹性品种，趋势性和容量较好，适合突破策略。,优先研究。流动性较好、趋势突破更友好、成本与滑点相对更适合新手做商品CTA baseline。
JM0,DCE,焦煤连续,4,A,第一批建库,,黑色链强趋势候选，适合做趋势延续与板块强弱。,优先研究。流动性较好、趋势突破更友好、成本与滑点相对更适合新手做商品CTA baseline。
J0,DCE,焦炭连续,5,A,第一批建库,,波动较大但板块逻辑清楚，建议在焦煤之后研究。,优先研究。流动性较好、趋势突破更友好、成本与滑点相对更适合新手做商品CTA baseline。
M0,DCE,豆粕连续,6,A,第一批建库,,农产品中非常适合CTA入门，流动性和趋势性较好。,优先研究。流动性较好、趋势突破更友好、成本与滑点相对更适合新手做商品CTA baseline。
P0,DCE,棕榈油连续,7,A,第一批建库,,油脂核心品种，趋势和季节性都较清楚，适合轮动与突破。,优先研究。流动性较好、趋势突破更友好、成本与滑点相对更适合新手做商品CTA baseline。
Y0,DCE,豆油连续,8,A,第一批建库,,与棕榈油、菜油构成油脂板块，适合板块比较与轮动。,优先研究。流动性较好、趋势突破更友好、成本与滑点相对更适合新手做商品CTA baseline。
OI0,CZCE,菜油连续,9,A,第二批扩展,,油脂板块重要补充，适合做趋势和横截面强弱。,优先研究。流动性较好、趋势突破更友好、成本与滑点相对更适合新手做商品CTA baseline。
MA0,CZCE,甲醇连续,10,A,第二批扩展,,化工入门首选之一，活跃度高，突破和趋势延续较常见。,优先研究。流动性较好、趋势突破更友好、成本与滑点相对更适合新手做商品CTA baseline。
TA0,CZCE,PTA连续,11,A,第二批扩展,,化工大票，资料多、流动性好，适合CTA起步研究。,优先研究。流动性较好、趋势突破更友好、成本与滑点相对更适合新手做商品CTA baseline。
EG0,DCE,乙二醇连续,12,A,第二批扩展,,化工链重要品种，适合作为第二梯队化工趋势研究。,优先研究。流动性较好、趋势突破更友好、成本与滑点相对更适合新手做商品CTA baseline。
PP0,DCE,聚丙烯连续,13,A,第二批扩展,,化工中较适合趋势跟踪，适合做与L、V的相对强弱。,优先研究。流动性较好、趋势突破更友好、成本与滑点相对更适合新手做商品CTA baseline。
L0,DCE,塑料连续,14,A,第二批扩展,,塑化链代表品种，适合趋势和板块轮动。,优先研究。流动性较好、趋势突破更友好、成本与滑点相对更适合新手做商品CTA baseline。
V0,DCE,PVC连续,15,A,第二批扩展,,PVC活跃度与研究价值较高，但节奏略复杂，适合第二批。,优先研究。流动性较好、趋势突破更友好、成本与滑点相对更适合新手做商品CTA baseline。
